algoritmo,sucesso,custo,passos,explorados,expandidos,tempo_ms,fronteira_max
BFS,True,39,39,128,123,0.2500000009604264,8
DFS,True,39,39,72,72,0.14490000103251077,6
Gulosa,True,39,39,63,63,0.22489999901154079,12
A*,True,39,39,88,88,0.24710000070626847,7
BFS,True,39,39,128,123,0.23499999952036887,8
BFS,True,39,39,128,123,0.2773000014713034,8
BFS,True,39,39,128,123,0.2466000005370006,8
