algorithm,success,cost,steps,explored,expanded,time_ms,max_frontier
BFS,True,558,558,1249,1249,2.7698000012605917,9
DFS,True,558,558,725,725,1.6143000011652475,14
UCS,True,558,558,1249,1249,3.0097999988356605,9
Gulosa,True,558,558,1124,1124,2.9396000009001,12
A*,True,558,558,1245,1245,3.30509999912465,7
